Type,Gene
protein_coding,A1BG
antisense,A1BG-AS1
protein_coding,A1CF
protein_coding,A2M
antisense,A2M-AS1
protein_coding,A2ML1
pseudogene,A2MP1
protein_coding,A3GALT2
protein_coding,A4GALT
protein_coding,A4GNT
protein_coding,AAAS
protein_coding,AACS
pseudogene,AACSP1
protein_coding,AADAC
protein_coding,AADACL2
protein_coding,AADACL3
protein_coding,AADACL4
protein_coding,AADAT
protein_coding,AAED1
protein_coding,AAGAB
protein_coding,AAK1
protein_coding,AAMDC
protein_coding,AAMP
protein_coding,AANAT
protein_coding,AAR2
protein_coding,AARD
protein_coding,AARS
protein_coding,AARS2
protein_coding,AARSD1
protein_coding,AASDH
protein_coding,AASDHPPT
protein_coding,AASS
protein_coding,AATF
protein_coding,AATK
antisense,AATK-AS1
antisense,ABALON
protein_coding,ABAT
protein_coding;overexpressed_ribodepletion,ABCA1
protein_coding,ABCA10
pseudogene,ABCA11P
protein_coding,ABCA12
protein_coding,ABCA13
pseudogene,ABCA17P
protein_coding,ABCA2
protein_coding,ABCA3
protein_coding,ABCA4
protein_coding,ABCA5
protein_coding,ABCA6
protein_coding,ABCA7
protein_coding,ABCA8
protein_coding,ABCA9
antisense,ABCA9-AS1
protein_coding,ABCB1
protein_coding,ABCB10
processed_pseudogene,ABCB10P1
processed_pseudogene,ABCB10P3
processed_pseudogene,ABCB10P4
protein_coding,ABCB11
protein_coding,ABCB4
protein_coding,ABCB5
protein_coding,ABCB6
protein_coding,ABCB7
protein_coding,ABCB8
protein_coding,ABCB9
protein_coding,ABCC1
protein_coding,ABCC10
protein_coding,ABCC11
protein_coding,ABCC12
pseudogene,ABCC13
protein_coding,ABCC2
protein_coding,ABCC3
protein_coding,ABCC4
protein_coding,ABCC5
antisense,ABCC5-AS1
protein_coding,ABCC6
pseudogene,ABCC6P1
pseudogene,ABCC6P2
protein_coding,ABCC8
protein_coding,ABCC9
protein_coding,ABCD1
unprocessed_pseudogene,ABCD1P2
unprocessed_pseudogene,ABCD1P3
unprocessed_pseudogene,ABCD1P4
protein_coding,ABCD2
protein_coding,ABCD3
protein_coding,ABCD4
protein_coding,ABCE1
protein_coding,ABCF1
protein_coding,ABCF2
protein_coding,ABCF3
protein_coding,ABCG1
protein_coding,ABCG2
protein_coding,ABCG4
protein_coding,ABCG5
protein_coding,ABCG8
protein_coding,ABHD1
protein_coding,ABHD10
protein_coding,ABHD11
protein_coding,ABHD12
protein_coding,ABHD12B
protein_coding,ABHD13
protein_coding,ABHD14A
protein_coding,ABHD14A-ACY1
protein_coding,ABHD14B
protein_coding,ABHD15
